call_uid,sound.files,selec,call_type,call_quality,cluster_unsup,p_contact,contact_thresh_pass
NMSU172_250409_0199__428,NMSU172_250409_0199.wav,428,contact-like,medium,4,0.9897548304830328,TRUE
NMSU172_250409_0199__429,NMSU172_250409_0199.wav,429,contact-like,medium,4,0.9966038987466587,TRUE
NMSU172_250409_0199__430,NMSU172_250409_0199.wav,430,contact-like,medium,3,0.9715413782308695,TRUE
NMSU172_250409_0199__437,NMSU172_250409_0199.wav,437,contact-like,high,3,0.966070860347429,TRUE
NMSU172_250409_0199__438,NMSU172_250409_0199.wav,438,contact-like,high,3,0.9662552295459809,TRUE
NMSU172_250409_0199__439,NMSU172_250409_0199.wav,439,contact-like,high,2,0.8310873179221197,TRUE
NMSU172_250409_0199__440,NMSU172_250409_0199.wav,440,contact-like,high,4,0.9855735995048663,TRUE
NMSU172_250409_0199__441,NMSU172_250409_0199.wav,441,contact-like,high,3,0.9009081354148593,TRUE
NMSU172_250409_0199__442,NMSU172_250409_0199.wav,442,contact-like,high,3,0.9826343584800663,TRUE
NMSU172_250409_0199__443,NMSU172_250409_0199.wav,443,contact-like,high,3,0.9523206113094724,TRUE
NMSU172_250409_0199__444,NMSU172_250409_0199.wav,444,contact-like,medium,6,0.3560307477310506,FALSE
NMSU172_250409_0199__445,NMSU172_250409_0199.wav,445,contact-like,high,3,0.7842833230329661,FALSE
NMSU172_250409_0199__446,NMSU172_250409_0199.wav,446,contact-like,high,6,7.035364844683282e-7,FALSE
NMSU172_250409_0199__447,NMSU172_250409_0199.wav,447,contact-like,high,3,0.9183819617649034,TRUE
NMSU172_250409_0199__448,NMSU172_250409_0199.wav,448,contact-like,high,3,0.926731222792184,TRUE
NMSU172_250409_0199__449,NMSU172_250409_0199.wav,449,contact-like,high,6,2.3046771092465171e-7,FALSE
NMSU172_250409_0199__450,NMSU172_250409_0199.wav,450,contact-like,high,3,0.9680725039974051,TRUE
NMSU172_250409_0199__451,NMSU172_250409_0199.wav,451,contact-like,high,3,0.9732021014470807,TRUE
NMSU172_250409_0199__452,NMSU172_250409_0199.wav,452,contact-like,high,3,0.9812773360085983,TRUE
NMSU172_250409_0199__453,NMSU172_250409_0199.wav,453,contact-like,high,3,0.971407634617368,TRUE
NMSU172_250409_0199__454,NMSU172_250409_0199.wav,454,contact-like,high,3,0.9574023538679407,TRUE
