call_uid,sound.files,selec,start,end,call_type,call_quality,background_noise,background_noise_lower_freq,background_noise_upper_freq,background_noise_temporal_extent,date_manual_selection,observer_initials,door_open,total_calls_selected,total_contact_like_calls,total_non_contact_calls,many_non_contact_calls,notes,audio_file_name,date_manual_selection.x,observer_initials.x,start.y,end.y,selection_id,sound_files_like_raven,duration,meanfreq,sd,freq.median,freq.Q25,freq.Q75,freq.IQR,time.median,time.Q25,time.Q75,time.IQR,peakt,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,peak_freq_hz,is_clipped,cluster_unsup,p_contact,contact_thresh_pass
NMSU107_250327_0150__1,NMSU107_250327_0150.wav,1,0.2895,0.6605,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-13T00:00:00Z,MLH,0.2895,0.6605,1,NMSU107_250327_0150.wav,0.371,3.3514487496976364,2.8640057043479787,2.7361842911407916,1.4691826981987501,4.092145570395785,2.622962872197035,0.21748142935335055,0.12793025256079443,0.2942395808898272,0.16630932832903278,0.3198256314019861,3.3669116144437905,17.299580565236745,0.8667974014005795,0.887237854057057,0.7690554663208836,0.17500300323327497,2.12173828125,1.313525390625,3.165380859375,1.85185546875,6.348837209302325,3.036181640625,1.787255859375,-3.3663767688679247,1.3186019807527014,1.2991993154452661,FALSE,1,3.361349207767818e-82,FALSE
NMSU107_250327_0150__2,NMSU107_250327_0150.wav,2,1.0282,1.3423,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-13T00:00:00Z,MLH,1.0282,1.3423,2,NMSU107_250327_0150.wav,0.31410000000000005,3.3572105865156017,2.8804043959331493,2.7161673179910264,1.5284411636995223,4.209581705022435,2.681140541322913,0.16332244897959183,0.11306938775510204,0.23870204081632654,0.1256326530612245,0.11306938775510204,3.6160269610740565,21.858341393336044,0.8652291047133654,0.8969818122503136,0.7760947703575108,0.18058445405513335,1.51270751953125,0.021533203125,1.787255859375,1.7657226562500001,2.6097560975609753,1.614990234375,1.571923828125,-0.13711049426934066,1.5347801103573182,1.6842755035737491,FALSE,1,2.4980812012715766e-43,FALSE
NMSU107_250327_0150__3,NMSU107_250327_0150.wav,3,1.8542,2.2073,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-13T00:00:00Z,MLH,1.8542,2.2073,3,NMSU107_250327_0150.wav,0.35309999999999997,3.55418502673196,2.735920981048481,2.93692070030896,1.7106076210092687,4.6985066941297635,2.987899073120495,0.21438613540654355,0.11349854227405247,0.29005183025591186,0.17655328798185937,0.29005183025591186,3.3950305648720427,18.437363637215487,0.8684496282082323,0.8883098220845214,0.7714523347230235,0.16662935971343026,1.7760904947916667,1.614990234375,1.959521484375,0.34453124999999996,6.250000000000002,1.787255859375,1.787255859375,0,1.7077226140410118,1.7133637297713844,FALSE,1,1.9665746827061792e-63,FALSE
NMSU107_250327_0150__4,NMSU107_250327_0150.wav,4,2.6901,3.3238,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-13T00:00:00Z,MLH,2.6901,3.3238,4,NMSU107_250327_0150.wav,0.6336999999999997,3.654580878853052,2.649391983423619,3.070941826267843,1.9173660426081343,4.607990818449179,2.6906247758410444,0.4021677132391418,0.24373800802372228,0.5362236176521891,0.2924856096284668,0.633718820861678,3.4713883120762246,18.63303033670704,0.8751012623377233,0.8546111289046504,0.7478712777123264,0.1692885345290869,2.3576825987617926,1.658056640625,3.596044921875,1.93798828125,14.022222222222222,2.863916015625,3.423779296875,0.8834831643522171,1.7941938658828585,1.8415107167137796,FALSE,1,6.17073084868549e-264,FALSE
NMSU107_250327_0150__5,NMSU107_250327_0150.wav,5,3.7866,4.0459,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-11T00:00:00Z,MLH,3.7866,4.0459,5,NMSU107_250327_0150.wav,0.25929999999999964,4.2719686465624775,2.6961529222939027,3.849228611500701,2.402875175315568,5.349579242636747,2.946704067321178,0.11668367346938777,0.06482426303854875,0.1815079365079365,0.11668367346938775,0.09075396825396825,2.810860627144353,12.405374013171878,0.8786671425888429,0.922781099091817,0.8108174315739988,0.17264869872180025,2.759326171875,0.236865234375,4.629638671875,4.3927734375,4.411764705882353,1.959521484375,2.820849609375,3.321743636714236,1.837429491803782,4.203672933974639,FALSE,1,2.1669254497247e-15,FALSE
NMSU107_250327_0150__6,NMSU107_250327_0150.wav,6,4.1264,4.3611,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-11T00:00:00Z,MLH,4.1264,4.3611,6,NMSU107_250327_0150.wav,0.23470000000000013,4.3874702521207025,2.9254899820228433,3.975595583962812,2.6163083478597713,5.219833430176253,2.603525082316482,0.1303980851599899,0.07823885109599395,0.18255731922398588,0.10431846812799193,0.22167674477198285,5.554567646153621,48.36960485187459,0.8602293385063617,0.9338426503711234,0.8033188453977791,0.2227296616251297,2.854849403782895,0.107666015625,4.457373046875,4.34970703125,2.960396039603961,0.193798828125,3.854443359375,15.59712199083936,0.10800445496684676,0.11503236402279973,FALSE,1,4.263173019190137e-26,FALSE
NMSU107_250327_0150__7,NMSU107_250327_0150.wav,7,5.8715,6.247,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-13T00:00:00Z,MLH,5.8715,6.247,7,NMSU107_250327_0150.wav,0.3754999999999997,4.473614105800612,2.9783682293316978,3.8162450066577898,2.2237017310253,5.685752330226365,3.4620505992010653,0.23782312925170068,0.15020408163265306,0.3129251700680272,0.16272108843537417,0.36299319727891155,4.330306205372524,32.213732986401126,0.8810686289807176,0.884955653512832,0.7797066643492858,0.20482330229497844,2.572175844254032,1.830322265625,4.629638671875,2.79931640625,7.184615384615385,1.959521484375,2.260986328125,0.8028358022636491,2.096843247329322,2.0825,FALSE,1,2.0590717457851173e-91,FALSE
NMSU107_250327_0150__8,NMSU107_250327_0150.wav,8,6.3729,6.697,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-11T00:00:00Z,MLH,6.3729,6.697,8,NMSU107_250327_0150.wav,0.3241000000000005,4.936030809475336,2.9244521833336394,4.2679197643428255,2.9718053022864357,6.196661523355309,3.224856221068874,0.18149841269841271,0.10371337868480726,0.25928344671201814,0.15557006802721088,0.23335510204081633,3.6428460857455476,21.886974071927433,0.8822218835922523,0.9019883325235004,0.7957538456971174,0.21093672876964423,3.7666541466346155,2.260986328125,4.457373046875,2.1963867187500004,6.431372549019608,2.820849609375,4.457373046875,5.049439794816408,4.301860169296415,4.396732666340166,FALSE,1,3.3168832229327156e-27,FALSE
NMSU107_250327_0150__9,NMSU107_250327_0150.wav,9,6.8311,7.1418,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-11T00:00:00Z,MLH,6.8311,7.1418,9,NMSU107_250327_0150.wav,0.31069999999999975,4.950474435768138,3.0185220355037634,4.127011998829382,2.958443078724027,6.093942054433714,3.135498975709687,0.15534013605442176,0.0647250566893424,0.23301020408163264,0.16828514739229022,0.15534013605442176,3.803897637401042,23.596144214262004,0.8801910337668891,0.9068854648425482,0.7982324548079283,0.2107158512989763,4.081833984375,3.639111328125,4.328173828125,0.6890625000000004,8.812499999999996,4.069775390625,3.854443359375,-0.6930544938847769,4.085682039691798,3.939741624698927,FALSE,1,1.1790768283265986e-22,FALSE
NMSU107_250327_0150__10,NMSU107_250327_0150.wav,10,7.2916,7.5844,non-contact,medium,FALSE,NA,NA,NA,2025-08-11T00:00:00Z,MLH,yes,84,40,44,yes,Little to no calls towards back half of recording,NMSU107_250327_0150,2025-08-11T00:00:00Z,MLH,7.2916,7.5844,10,NMSU107_250327_0150.wav,0.2927999999999997,4.795420454746092,3.031435528490625,4.0577550069864925,2.715416860735911,6.025151374010247,3.3097345132743365,0.14002957704821056,0.06364980774918662,0.21640934634723452,0.15275953859804792,0.12729961549837324,3.812765930847868,24.1108114584448,0.8811398514635638,0.911579389599613,0.8032289279490492,0.21285979155902804,3.667822265625,2.217919921875,4.155908203125,1.9379882812499996,8.555555555555557,3.811376953125,4.112841796875,1.0295930455942641,3.8262682841662574,3.620353159851301,FALSE,1,7.410540931845365e-23,FALSE
