call_uid,sound.files,cluster,call_type,p_contact,contact_thresh_pass,PC1,PC2,TSNE1,TSNE2,UMAP1,UMAP2
A150_250406_0178__1,A150_250406_0178.wav,1,non-contact,7.680753708968495e-32,FALSE,-6.390372784943226,0.48815576139024675,2.7925916291622728,35.372039628337845,9.70831874251137,0.6030851581125168
A150_250406_0178__2,A150_250406_0178.wav,2,contact-like,0.8981708951827408,TRUE,2.5109850991262825,2.6045097432676276,20.8923380532253,-9.288282026209062,-2.1234223520778635,4.232877848389617
A150_250406_0178__3,A150_250406_0178.wav,3,contact-like,0.9623728563953895,TRUE,1.3552829879146684,0.35226696756412557,2.975166454367591,-13.20182856424468,-3.2632136023067453,0.6716624476938157
A150_250406_0178__4,A150_250406_0178.wav,2,contact-like,0.6126957204084394,FALSE,2.6616520533616783,1.6965667118561447,9.819074568511155,-23.51521399066947,-4.920176473858259,2.1647089698343187
A150_250406_0178__5,A150_250406_0178.wav,2,contact-like,0.9657811724527566,TRUE,2.4451472214550853,1.42931788490167,10.292802961035761,-20.636802931696558,-4.7552771246456125,2.0961004474191576
A150_250406_0178__6,A150_250406_0178.wav,4,contact-like,0.9903746848185164,TRUE,1.866464538875662,-0.24935690969517876,0.20049966409103132,-23.742119040903617,-5.51026150346031,0.21457958007144018
A150_250406_0178__7,A150_250406_0178.wav,2,contact-like,0.97402987684066,TRUE,2.444743015384778,1.0615469609572064,9.52532736040015,-20.51516686769091,-4.727253881695173,1.986811039689055
A150_250406_0178__8,A150_250406_0178.wav,6,contact-like,0.2586774022708714,FALSE,2.7573919603853825,1.6651843018365207,9.78013464241084,-23.65225832178218,-4.920610395672224,2.1332851626901537
A150_250406_0178__9,A150_250406_0178.wav,6,contact-like,0.0010280437521651808,FALSE,1.5091614036029877,2.435327823069618,15.480673700249389,-17.97004017154466,-4.152926889660261,2.7836705424814134
A150_250406_0178__10,A150_250406_0178.wav,2,contact-like,0.9749811756294777,TRUE,2.8986148224991846,1.1006762586120704,10.178881471805852,-21.10547081385242,-4.82396885514488,2.0828624942331224
A150_250406_0178__11,A150_250406_0178.wav,2,contact-like,0.8365830685798232,TRUE,1.6644060791201714,3.949213643191687,24.27100993026361,-4.64350112018224,-1.087989417316816,4.663624403717986
A150_250406_0178__12,A150_250406_0178.wav,2,contact-like,0.8371828295155543,TRUE,2.1340502206225116,3.8502089251551785,23.818246609936477,-7.992226410336606,-1.7206340706371286,4.606662390473357
A150_250406_0178__13,A150_250406_0178.wav,2,contact-like,0.9739579204840608,TRUE,2.4323229278987366,0.8218081833338725,9.132458126208315,-20.30044240795521,-4.673808542492292,1.9364110209970384
A150_250406_0178__14,A150_250406_0178.wav,6,contact-like,0.37453439564829805,FALSE,1.442264545338719,1.5380712712890565,7.315368812018913,-20.787509855342627,-4.620015112163923,1.610012648346892
A150_250406_0178__15,A150_250406_0178.wav,4,contact-like,0.9827874712027004,TRUE,1.392035059082777,-1.4381623696186396,-12.997944329547199,-20.75682436547369,-5.0310902273677804,-2.2820013782949538
A150_250406_0178__16,A150_250406_0178.wav,2,contact-like,0.8443832491610216,TRUE,0.5733397066509146,1.4189817927938468,9.748057689985348,-7.843738401088306,-2.1095270788692453,1.9221178271798998
A150_250406_0178__17,A150_250406_0178.wav,2,contact-like,0.938698307393291,TRUE,1.5194417990477473,1.5383228874180888,12.424318617347605,-12.570402902204632,-3.086959568264387,2.3847709872751146
A150_250406_0178__18,A150_250406_0178.wav,2,contact-like,0.963956816740109,TRUE,1.9309665777337401,0.7496849949539202,8.106768787868333,-17.730532925972536,-4.191707102062605,1.643600819352141
